	source	target	weight	p_value
113072	PI3K	OSBPL11	2.6763268	1.0311265e-08
113073	PI3K	MGMT	-2.4460888	1.0381831e-08
113074	PI3K	RBL2	-3.1015105	1.0601252e-08
113075	PI3K	SLC1A5	5.20375	1.0735814e-08
113076	PI3K	LYRM9	-2.7307272	1.0914573e-08
113077	PI3K	AMT	-2.656271	1.1103907e-08
113078	PI3K	SPTY2D1	2.7853155	1.1154311e-08
113079	PI3K	LRRC51	-1.5987651	1.1336864e-08
113080	PI3K	TOMT	-1.5987651	1.1336864e-08
113081	PI3K	COPZ2	-2.634785	1.1767323e-08
113082	PI3K	PDE12	2.1322403	1.1780508e-08
113083	PI3K	NRAS	2.7355232	1.1890487e-08
113084	PI3K	SLC7A6	3.7965703	1.194367e-08
113085	PI3K	UCHL3	4.8456573	1.22128085e-08
113086	PI3K	BFSP1	-2.742123	1.2219921e-08
113087	PI3K	BDH2	-4.0055604	1.2482256e-08
113088	PI3K	GIMAP2	-5.926317	1.2565176e-08
113089	PI3K	SHLD2	2.6544802	1.2747727e-08
113090	PI3K	PHEX	2.6621184	1.2943883e-08
113091	PI3K	PNPLA4	-2.094131	1.2978581e-08
113092	PI3K	EXOC3	-2.850729	1.3116571e-08
113093	PI3K	DHDH	-1.7544171	1.3514905e-08
113094	PI3K	CLEC1A	2.1831381	1.3711215e-08
113095	PI3K	CDK20	-1.9386828	1.3840112e-08
113096	PI3K	OTULIN	1.5931327	1.4482011e-08
113097	PI3K	TSEN15	5.138803	1.4789323e-08
113098	PI3K	ARF4	3.2300673	1.500549e-08
113099	PI3K	HPS1	-1.2715002	1.511286e-08
113100	PI3K	SMO	-1.6939186	1.5161685e-08
113101	PI3K	PRSS35	3.7872415	1.5181648e-08
113102	PI3K	MRPL22	2.5269537	1.5211578e-08
113103	PI3K	SEC23B	2.7613516	1.5278504e-08
113104	PI3K	OSTC	3.6418002	1.5332164e-08
113105	PI3K	SLC25A6	-3.2493486	1.5357898e-08
113106	PI3K	LRRC37A3	-2.3011823	1.5425202e-08
113107	PI3K	DUSP15	-1.8289677	1.5658744e-08
113108	PI3K	EMC7	2.350205	1.5767304e-08
113109	PI3K	C8orf44	-3.0666206	1.5840302e-08
113110	PI3K	TLE6	-1.6127588	1.5903815e-08
113111	PI3K	NMS	5.6499786	1.5945428e-08
113112	PI3K	LARP4	3.5854387	1.6281646e-08
113113	PI3K	TMEM214	2.6051986	1.634642e-08
113114	PI3K	SNX15	-1.916907	1.6640525e-08
113115	PI3K	STIP1	4.658678	1.6970784e-08
113116	PI3K	CCNL2	-2.5067763	1.7250043e-08
113117	PI3K	VSIG8	-2.080199	1.7252837e-08
113118	PI3K	SNHG28	-2.080199	1.7252837e-08
113119	PI3K	BTD	-2.5321412	1.7258335e-08
113120	PI3K	HBQ1	-1.9079022	1.7933191e-08
113121	PI3K	CHRM1	-2.1967962	1.8338374e-08
113122	PI3K	PGAP2	-2.3577492	1.8754122e-08
113123	PI3K	ELP3	-2.2598546	1.930058e-08
113124	PI3K	CHUK	3.7795928	1.9653713e-08
